"PLOT","Accession","LOC","Year","REP","Block","Design","Trial","Settweight","NPH","Vigor","AUDPC_YMV","rAUDPC_YMV","AUDPC_YAD","rAUDPC_YAD","Yield.per.plot..kg.","TTNPL","TTWPL","Yield_udj","YIELD","ATW","DMC","Oxint180Minutes","OXBI"
145,"TDr1691044","Abuja",2020,2,10,"Lattice","PPT4",0.75,5,3,187.5,0.020833333,142.5,0.015833333,3.9,1,0.78,7.8,21.5,2.15,39.3,1,0.13
424,"TDr1775002","Abuja",2020,1,1,"Augmented","SCG",0.431,3,3,135,0.015,120,0.013333333,4.4,1.666666667,1.466666667,30.67,14.67,0.88,NA,NA,NA
7006,"TDr9519177","Ibadan",2020,1,7,"Augmented","SCG",0.58,5,2,339,0.02825,129,0.01075,6.83,1.4,1.37,13.66,13.66,0.98,30.67,1,-0.24
2052,"TDr1739054","Ikenne",2020,2,2,"Partial replicated","TFE",NA,6,3,165,0.01375,165,0.01375,4.115,1.17,0.69,6.86,6.86,0.59,NA,1,NA
63,"TDrMeccakusa","Ubiaja",2020,1,13,"Augmented","APT",0.74,5,2,135,0.01125,108,0.009,5.45,2,1.09,10.9,10.9,0.55,28,0,-0.14
2131,"TDr1719065","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"TDr1525183","Ubiaja",2020,1,19,"Augmented","APT",0.75,4,3,180,0.015,93,0.00775,4.38,1,1.095,8.76,8.76,1.1,23.33,3,-0.05
455,"TDr1777001","Abuja",2020,1,1,"Augmented","SCG",0.444,3,NA,195,0.021666667,115,0.012777778,2,1,0.666666667,39,6.67,0.67,NA,NA,NA
1044,"TDr1738077","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,3,180,0.015,165,0.01375,3.815,1.25,0.95,9.54,9.54,0.76,NA,2,NA
86,"TDr9518544","Ibadan",2020,1,18,"Augmented","APT",0.75,3,2,280,0.023333333,135,0.01125,6.18,2.3,2.1,12.36,12.36,0.88,36,0,-0.21
595,"TDr1790008","Abuja",2020,1,4,"Augmented","SCG",0.45,3,3,190,0.021111111,130,0.014444444,2.9,2,0.966666667,9.67,9.67,0.48,NA,NA,NA
2234,"TDr1741044","Ikenne",2020,2,2,"Partial replicated","TFE",NA,4,3,135,0.01125,135,0.01125,1.09,1.75,0.27,2.73,2.73,0.16,NA,NA,NA
97,"TDr9519177","Abuja",2020,1,20,"Augmented","APT",0.75,3,2,210,0.023333333,135,0.015,2.3,2.333333333,0.766666667,4.6,4.6,0.33,NA,NA,NA
2075,"TDr1739019","Ikenne",2020,2,2,"Partial replicated","TFE",NA,4,3,165,0.01375,150,0.0125,2,1.5,0.5,10,5,0.33,NA,0,NA
236,"TDr1689041AB","Ibadan",2020,2,12,"Lattice","PPT2",0.47,4,3,330,0.0275,127.5,0.010625,9.7,4,2.4,19.4,24.25,0.61,29.33,0,-0.09
701,"TDr1715302","Abuja",2020,1,5,"Augmented","SCG",0.395,3,3,195,0.021666667,110,0.012222222,3.3,1.666666667,1.1,11,11,0.66,NA,NA,NA
2157,"TDr1716010","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,2,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"TDr1689027AB","Ibadan",2020,1,1,"Lattice","PPT2",0.1,4,3,282.5,0.023541667,123.75,0.0103125,4.56,1.5,1.1,9.12,11.4,0.76,25.33,1,-0.08
2,"TDr9518544","Ibadan",2020,1,1,"Augmented","APT",0.75,4,2,322.5,0.026875,217.5,0.018125,6.84,1.8,1.7,13.68,13.68,0.98,32.67,1,0.02
749,"TDr1756052","Abuja",2020,1,6,"Augmented","SCG",0.408,3,3,245,0.027222222,120,0.013333333,2.3,2.333333333,0.766666667,7.67,7.67,0.33,NA,NA,NA
1177,"TDr1716045","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,285,0.02375,NA,NA,0.18,1,0.18,0.6,1.8,0.18,NA,NA,NA
2227,"TDr1741012","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,1,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,"TDr1763009","Abuja",2020,1,4,"Augmented","SCG",0.18,3,3,225,0.025,150,0.016666667,2.7,2.666666667,0.9,9,9,0.34,NA,NA,NA
